FIRE_ID,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_TIME,STAT_CAUSE_DESCR,CONT_DATE,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,COUNTY,FIPS_CODE,OWNER_DESCR
CA10543,SOBERANES,7/22/2016,8:48:00,Campfire,10/12/2016,19:00:00,132127,G,36.4278,-121.8965,CA,MONTEREY,6053,USFS
CA10611,ROUGH,7/31/2015,7:08:00,Lightning,11/5/2015,17:00:00,151623,G,36.5303,-118.7676,CA,TULARE,6107,USFS
CA10687,BASS LAKE,9/13/2014,14:22:00,Human,9/23/2014,19:00:00,1064,E,37.3232,-119.5559,CA,MADERA,6039,USFS
CA10721,CORRAL,9/12/2015,12:07:00,Powerline,9/19/2015,19:00:00,12355,G,38.9409,-120.8031,CA,EL DORADO,6017,USFS
CA10789,PINES,6/28/2019,17:05:00,Unknown,7/2/2019,19:00:00,428,D,41.9553,-121.9193,CA,SISKIYOU,6093,Private
CA10832,EAGLE,6/21/2020,20:30:00,Arson,6/28/2020,19:00:00,946,E,34.2084,-117.1029,CA,SAN BERNARDINO,6071,USFS
CA10876,COPPER,6/5/2020,17:16:00,Human,6/12/2020,19:00:00,363,D,37.5772,-119.9911,CA,MARIPOSA,6043,BLM
CA10934,BOBCAT,9/6/2020,12:21:00,Unknown,12/18/2020,18:00:00,115796,G,34.1747,-117.8673,CA,LOS ANGELES,6037,USFS
CA10987,BLUE RIDGE,10/14/2020,13:44:00,Human,11/30/2020,18:00:00,13694,G,33.8759,-117.7039,CA,ORANGE,6059,USFS
TX10022,EAST AMARILLO COMPLEX,3/12/2006,14:30:00,Human,3/18/2006,21:00:00,907245,G,35.2815,-101.4582,TX,GRAY,48179,Private
TX10056,POSSUM KINGDOM COMPLEX,4/13/2011,12:08:00,Debris Burning,4/22/2011,18:00:00,126734,G,32.8651,-98.4528,TX,PALO PINTO,48363,Private
TX10097,ROCKHOUSE,4/9/2011,14:11:00,Equipment Use,5/1/2011,18:00:00,314444,G,30.4693,-103.7471,TX,PRESIDIO,48377,Mixed Ownership
TX11023,BASTROP COUNTY COMPLEX,9/4/2011,14:11:00,Powerline,10/10/2011,19:00:00,34068,G,30.1108,-97.3131,TX,BASTROP,48021,Mixed Ownership
TX11081,BEAR CREEK,8/30/2011,15:32:00,Lightning,9/16/2011,18:00:00,41383,G,29.7923,-99.7653,TX,REAL,48385,Private
TX10124,DEATON COLE,4/9/2011,14:30:00,Powerline,4/25/2011,19:00:00,175000,G,30.5851,-101.8236,TX,VAL VERDE,48465,Private
TX10178,FRYING PAN RANCH,4/13/2011,12:30:00,Debris Burning,4/19/2011,19:00:00,16576,G,35.7267,-100.3803,TX,HEMPHILL,48211,Private
TX10235,TRACK,4/17/2011,15:00:00,Equipment Use,4/22/2011,19:00:00,43184,G,30.9517,-98.2429,TX,SAN SABA,48411,Private
TX10289,WHITE HAT,4/13/2011,14:30:00,Debris Burning,4/18/2011,19:00:00,67731,G,30.9013,-99.8981,TX,TOM GREEN,48451,Private
TX10341,SWENSON,4/11/2011,13:00:00,Equipment Use,4/17/2011,19:00:00,122180,G,33.2846,-100.3143,TX,STONEWALL,48433,Private
TX10396,CANNON,4/12/2018,16:45:00,Equipment Use,4/17/2018,19:00:00,62673,G,33.1946,-100.1075,TX,FISHER,48151,Private
TX10435,CAMP BOWIE,8/18/2019,14:15:00,Lightning,8/25/2019,19:00:00,1842,F,31.6718,-98.9549,TX,BROWN,48049,Mixed Ownership
TX10486,MESQUITE HEAT,5/17/2022,16:30:00,Equipment Use,5/25/2022,19:00:00,10960,G,32.2589,-99.9032,TX,TAYLOR,48441,Private
TX10532,CHALK MOUNTAIN,7/18/2022,14:15:00,Unknown,7/25/2022,19:00:00,6746,G,32.3791,-97.9368,TX,SOMERVELL,48425,Private
TX10583,DEMPSEY,3/17/2022,15:30:00,Debris Burning,3/25/2022,19:00:00,11598,G,29.8152,-101.0232,TX,VAL VERDE,48465,Private
TX10632,COCONUT,3/17/2022,16:00:00,Equipment Use,3/24/2022,19:00:00,26252,G,28.4758,-99.5817,TX,LA SALLE,48283,Private
TX10682,SMITH,8/25/2021,12:30:00,Lightning,9/1/2021,19:00:00,296,D,30.8953,-102.9064,TX,PECOS,48371,Private
TX10731,CRITTENBURG COMPLEX,3/18/2022,12:00:00,Powerline,3/25/2022,19:00:00,33374,G,32.0731,-98.9349,TX,EASTLAND,48133,Private
TX10776,CEDAR MOUNTAIN,4/13/2022,14:15:00,Equipment Use,4/19/2022,19:00:00,178,C,29.9746,-102.1582,TX,TERRELL,48443,Private
OR10034,BISCUIT,7/13/2002,9:09:00,Lightning,12/31/2002,17:00:00,499965,G,42.1464,-123.9307,OR,JOSEPHINE,41033,USFS
OR10072,B&B COMPLEX,8/19/2003,15:45:00,Lightning,10/26/2003,19:00:00,90769,G,44.4984,-121.8719,OR,DESCHUTES,41017,USFS
OR10083,BOOTH,7/14/2003,14:33:00,Lightning,8/25/2003,19:00:00,91902,G,42.9129,-122.1408,OR,KLAMATH,41035,USFS
OR10114,DOUGLAS COMPLEX,7/26/2013,7:00:00,Lightning,9/3/2013,19:00:00,48679,G,42.9339,-123.3995,OR,DOUGLAS,41019,USFS
OR10153,CHETCO BAR,7/12/2017,14:02:00,Lightning,11/4/2017,19:00:00,191125,G,42.3858,-124.0513,OR,CURRY,41015,USFS
OR10173,EAGLE CREEK,9/2/2017,16:00:00,Fireworks,11/30/2017,17:00:00,48831,G,45.6337,-121.924,OR,MULTNOMAH,41051,USFS
OR10225,BEACHIE CREEK,8/16/2020,14:20:00,Lightning,10/31/2020,19:00:00,193573,G,44.7851,-122.2732,OR,MARION,41047,USFS
OR10231,HOLIDAY FARM,9/7/2020,20:45:00,Powerline,10/12/2020,19:00:00,173393,G,44.1779,-122.4769,OR,LANE,41039,USFS
OR10285,TUMBLEBUG COMPLEX,9/12/2009,16:30:00,Lightning,10/24/2009,19:00:00,14198,G,43.4511,-122.5771,OR,LANE,41039,USFS
OR10329,MAPLE,8/8/2019,18:30:00,Lightning,8/12/2019,19:00:00,53,B,45.1637,-121.7958,OR,CLACKAMAS,41005,USFS
OR10374,WHITE RIVER,8/17/2020,16:30:00,Lightning,9/15/2020,19:00:00,17383,G,45.0729,-121.5276,OR,WASCO,41065,USFS
OR10421,SLATER,9/8/2020,18:30:00,Unknown,11/16/2020,18:00:00,157229,G,41.8767,-123.6471,OR,JOSEPHINE,41033,USFS
OR10468,JACK CREEK,7/8/2017,14:25:00,Lightning,10/1/2017,18:00:00,33144,G,43.2615,-121.7735,OR,KLAMATH,41035,USFS
OR10514,MILEPOST 97,7/24/2019,13:25:00,Cigarette,8/3/2019,19:00:00,13119,G,42.8346,-123.2956,OR,DOUGLAS,41019,Private
OR10567,STOUTS CREEK,7/30/2015,13:00:00,Equipment Use,9/10/2015,19:00:00,26452,G,43.0078,-122.9678,OR,DOUGLAS,41019,BLM
OR10613,ARCHIE CREEK,9/8/2020,16:25:00,Unknown,11/16/2020,18:00:00,131542,G,43.2872,-123.2211,OR,DOUGLAS,41019,Mixed Ownership
OR10662,COUGAR PEAK,9/7/2021,14:45:00,Lightning,10/1/2021,19:00:00,91754,G,42.1819,-120.6328,OR,LAKE,41037,BLM
OR10708,BOOTLEG,7/6/2021,13:42:00,Lightning,8/15/2021,19:00:00,413765,G,42.6519,-121.3865,OR,KLAMATH,41035,USFS
OR10748,WINDIGO,6/30/2015,14:15:00,Lightning,9/21/2015,19:00:00,862,E,43.0824,-122.1533,OR,KLAMATH,41035,USFS
WA10056,CARLTON COMPLEX,7/14/2014,14:28:00,Lightning,8/24/2014,19:00:00,256108,G,48.2687,-120.1412,WA,OKANOGAN,53047,Mixed Ownership
WA10089,DIAMOND CREEK,7/23/2017,9:45:00,Human,11/4/2017,17:00:00,127757,G,48.7725,-120.8887,WA,OKANOGAN,53047,USFS
WA10122,WILLIAMS FLATS,8/2/2019,18:51:00,Lightning,8/25/2019,19:00:00,44446,G,47.9473,-118.604,WA,FERRY,53019,Tribal
WA10135,COLD SPRINGS,9/6/2020,21:15:00,Human,9/19/2020,18:00:00,189923,G,47.9368,-119.0687,WA,OKANOGAN,53047,Mixed Ownership
WA10189,TAYLOR BRIDGE,8/13/2012,13:00:00,Human,8/28/2012,19:00:00,23500,G,47.1956,-120.9354,WA,KITTITAS,53037,Mixed Ownership
WA10234,CHELAN COMPLEX,8/14/2015,19:00:00,Lightning,10/16/2015,18:00:00,88985,G,47.9226,-120.6511,WA,CHELAN,53007,USFS
WA10287,CRESCENT MOUNTAIN,7/29/2018,12:30:00,Lightning,10/22/2018,18:00:00,52609,G,48.5108,-120.5734,WA,OKANOGAN,53047,USFS
WA10331,COUGAR CREEK,8/10/2015,20:15:00,Lightning,9/11/2015,19:00:00,53532,G,46.1126,-121.1582,WA,YAKIMA,53077,USFS
WA10382,BLUE CREEK,7/20/2015,12:15:00,Human,8/25/2015,19:00:00,6004,G,46.0978,-117.9393,WA,COLUMBIA,53013,USFS
WA10429,WOLVERINE,6/29/2015,16:30:00,Lightning,10/5/2015,19:00:00,65179,G,47.8219,-120.8511,WA,CHELAN,53007,USFS
WA10476,MAPLE,8/8/2021,12:00:00,Human,8/16/2021,19:00:00,102,C,47.2642,-122.9493,WA,MASON,53045,State
WA10529,BULLDOG MOUNTAIN,8/3/2021,22:00:00,Lightning,8/10/2021,19:00:00,233,D,48.5321,-120.7261,WA,WHATCOM,53073,USFS
WA10578,TWENTYFIVE MILE,8/15/2021,15:30:00,Human,8/30/2021,19:00:00,22117,G,48.0107,-120.2268,WA,CHELAN,53007,USFS
WA10621,SPUR,7/24/2021,1:30:00,Lightning,8/5/2021,19:00:00,1068,E,46.0489,-117.3261,WA,ASOTIN,53003,USFS
CO10051,HAYMAN,6/8/2002,16:00:00,Human,7/18/2002,19:00:00,137760,G,39.1582,-105.335,CO,PARK,8093,USFS
CO10087,MISSIONARY RIDGE,6/9/2002,17:25:00,Human,7/15/2002,19:00:00,71739,G,37.4553,-107.8012,CO,LA PLATA,8067,Mixed Ownership
CO10145,HIGH PARK,6/9/2012,9:30:00,Lightning,7/1/2012,19:00:00,87284,G,40.6616,-105.4261,CO,LARIMER,8069,USFS
CO10178,WALDO CANYON,6/23/2012,11:54:00,Human,7/10/2012,20:00:00,18247,G,38.8926,-104.9783,CO,EL PASO,8041,USFS
CO10193,BLACK FOREST,6/11/2013,13:42:00,Human,6/20/2013,18:00:00,14280,G,39.0443,-104.7754,CO,EL PASO,8041,Private
CO10206,WEST FORK COMPLEX,6/5/2013,14:42:00,Lightning,7/31/2013,19:00:00,109049,G,37.3822,-106.8901,CO,MINERAL,8079,USFS
CO10241,416 FIRE,6/1/2018,10:02:00,Human,7/31/2018,19:00:00,54129,G,37.5553,-107.8051,CO,LA PLATA,8067,USFS
CO10262,CAMERON PEAK,8/13/2020,13:49:00,Human,12/2/2020,18:00:00,208913,G,40.6202,-105.8962,CO,LARIMER,8069,USFS
CO10279,EAST TROUBLESOME,10/14/2020,12:00:00,Human,12/2/2020,18:00:00,193812,G,40.1788,-105.9468,CO,GRAND,8049,USFS
CO10323,SPRING CREEK,6/27/2018,13:15:00,Human,7/10/2018,19:00:00,108045,G,37.6687,-106.3835,CO,COSTILLA,8023,Private
CO10371,GRIZZLY CREEK,8/10/2020,13:25:00,Human,12/18/2020,18:00:00,32631,G,39.5607,-107.2357,CO,GARFIELD,8045,BLM
CO10428,LAKE CHRISTINE,7/3/2018,18:15:00,Human,8/15/2018,19:00:00,12588,G,39.3697,-107.0381,CO,EAGLE,8037,USFS
CO10482,BRIDGER FIRE,6/23/2008,16:00:00,Lightning,6/30/2008,19:00:00,46,B,37.6314,-107.005,CO,RIO GRANDE,8105,USFS
CO10529,BULL DRAW,7/29/2018,18:00:00,Lightning,8/15/2018,19:00:00,36520,G,38.9845,-108.3811,CO,MESA,8077,BLM
CO10571,SILVER CREEK,7/19/2018,14:19:00,Human,7/28/2018,19:00:00,20120,G,40.2348,-106.6433,CO,ROUTT,8107,Private
CO10623,BEAVER CREEK,6/19/2016,17:36:00,Lightning,7/4/2016,19:00:00,38380,G,40.0387,-107.1962,CO,RIO BLANCO,8103,BLM
CO10674,PINE GULCH,7/31/2020,17:28:00,Lightning,9/15/2020,19:00:00,139007,G,39.3546,-108.2764,CO,MESA,8077,BLM
CO10721,DECKER,9/8/2020,16:30:00,Human,9/16/2020,19:00:00,8676,G,40.8121,-107.2357,CO,MOFFAT,8081,BLM
CO10778,MILL CREEK,7/9/2019,14:00:00,Lightning,7/15/2019,19:00:00,482,D,37.7914,-107.7593,CO,SAN JUAN,8111,USFS
AZ10078,RODEO-CHEDISKI,6/18/2002,16:00:00,Arson,7/7/2002,18:00:00,468638,G,34.0282,-110.3514,AZ,NAVAJO,4017,Tribal
AZ10129,WALLOW,5/29/2011,11:00:00,Campfire,7/8/2011,18:00:00,538049,G,33.7158,-109.3,AZ,APACHE,4001,USFS
AZ10157,HORSESHOE TWO,5/8/2011,14:45:00,Human,6/25/2011,18:00:00,222954,G,31.9031,-109.4039,AZ,COCHISE,4003,USFS
AZ10183,SCHULTZ,6/20/2010,14:03:00,Campfire,7/1/2010,17:00:00,15075,G,35.2729,-111.6743,AZ,COCONINO,4005,USFS
AZ10212,BUSH,5/22/2020,14:31:00,Human,6/15/2020,18:00:00,42992,G,33.3731,-111.9624,AZ,MARICOPA,4013,Mixed Ownership
AZ10268,LIZARD,5/2/2011,15:00:00,Campfire,5/8/2011,19:00:00,14968,G,31.7346,-109.0903,AZ,COCHISE,4003,USFS
AZ10319,WILLOW,6/24/2004,12:30:00,Human,7/7/2004,19:00:00,119500,G,34.5882,-111.4449,AZ,GILA,4007,USFS
AZ10367,BIGHORN,6/17/2020,12:15:00,Human,6/28/2020,19:00:00,33470,G,33.5837,-112.0181,AZ,MARICOPA,4013,Mixed Ownership
AZ10413,TELEGRAPH,6/7/2019,14:00:00,Human,6/11/2019,19:00:00,172,C,31.7053,-110.8764,AZ,SANTA CRUZ,4023,USFS
AZ10462,MOUNTAIN,6/30/2020,14:00:00,Lightning,7/6/2020,19:00:00,20675,G,33.3257,-110.9035,AZ,GILA,4007,USFS
AZ10506,WOODBURY,6/8/2019,10:00:00,Human,6/30/2019,19:00:00,123875,G,33.6081,-111.0847,AZ,MARICOPA,4013,USFS
AZ10549,MUSEUM,5/30/2020,16:00:00,Human,6/7/2020,19:00:00,1962,F,35.2016,-111.6571,AZ,COCONINO,4005,USFS
AZ10589,BACKBONE,5/21/2020,16:00:00,Human,6/1/2020,19:00:00,876,E,34.5463,-111.3115,AZ,YAVAPAI,4025,USFS
AZ10635,AQUILA,7/16/2022,16:15:00,Lightning,7/23/2022,19:00:00,1098,E,33.9413,-113.2984,AZ,YAVAPAI,4025,BLM
MT10071,LODGEPOLE COMPLEX,7/19/2017,15:40:00,Lightning,7/29/2017,19:00:00,270723,G,47.2941,-107.2915,MT,GARFIELD,30033,Mixed Ownership
MT10096,RICE RIDGE,7/24/2017,15:24:00,Lightning,9/28/2017,19:00:00,160187,G,47.0251,-113.7563,MT,MISSOULA,30063,USFS
MT10121,LOLO PEAK,7/15/2017,11:09:00,Lightning,9/16/2017,19:00:00,53902,G,46.6919,-114.2739,MT,MISSOULA,30063,USFS
MT10159,NORTH HILLS,7/22/2017,14:45:00,Lightning,8/3/2017,19:00:00,4964,F,46.9012,-111.9301,MT,LEWIS AND CLARK,30049,Mixed Ownership
1001,BEAVER CREEK,6/15/2002,14:30,Lightning,6/20/2002,18:00,2134.5,F,44.1256,-115.6789,ID,Valley,16085,USFS
1002,HAYMAN,6/8/2002,16:00,Human,7/18/2002,19:00,138114,G,39.0982,-105.3234,CO,Park,8093,USFS
1003,RODEO,6/18/2002,14:15,Human,7/7/2002,17:00,46760,G,33.8901,-110.5434,AZ,Gila,4007,USFS
1004,MISSIONARY RIDGE,6/9/2002,10:30,Human,7/15/2002,18:00,71739,G,37.4531,-107.7823,CO,La Plata,8067,Mixed Ownership
1005,PONIL COMPLEX,6/2/2002,13:45,Lightning,7/1/2002,16:00,92000,G,36.7345,-105.0987,NM,Colfax,35007,USFS
1006,CEDAR,10/25/2003,17:30,Human,11/5/2003,18:00,273246,G,32.8765,-116.789,CA,San Diego,6073,Private
1007,PARADISE,10/26/2003,11:15,Human,11/4/2003,17:30,56700,G,34.2345,-117.3456,CA,San Bernardino,6071,Mixed Ownership
1008,OLD,10/28/2003,9:00,Human,11/5/2003,19:00,91281,G,34.1567,-117.0123,CA,San Bernardino,6071,USFS
1009,ASPEN,7/22/2003,14:30,Lightning,8/10/2003,18:00,8400,G,39.4567,-111.2345,UT,Emery,49015,BLM
1010,BULLDOG,8/11/2003,13:00,Lightning,8/21/2003,18:30,30500,G,43.1234,-115.6789,ID,Elmore,16039,BLM
1011,MOUNTAIN,7/17/2004,14:00,Lightning,7/29/2004,19:00,9023,G,36.789,-118.5678,CA,Tulare,6107,USFS
1012,POWER,10/1/2004,13:30,Equipment Use,10/8/2004,17:00,8422,G,34.3456,-117.6789,CA,Los Angeles,6037,Mixed Ownership
1013,DEEP HARBOR,7/20/2004,16:45,Lightning,7/29/2004,19:00,6500,G,48.2345,-120.5678,WA,Chelan,53007,USFS
1014,MAXWELL,8/3/2005,15:30,Lightning,8/12/2005,18:00,7600,G,41.2345,-122.6789,CA,Shasta,6089,USFS
1015,SCHOOL,6/22/2005,13:00,Lightning,7/3/2005,18:00,4400,F,37.8901,-119.3456,CA,Madera,6039,USFS
1016,WARM,8/16/2005,16:30,Lightning,8/24/2005,19:00,4200,F,43.4567,-122.789,OR,Douglas,41019,USFS
1017,CAVE CREEK COMPLEX,6/21/2005,14:00,Lightning,7/14/2005,18:00,243950,G,33.9876,-111.8765,AZ,Maricopa,4013,USFS
1018,MURPHY COMPLEX,7/16/2007,17:30,Lightning,7/27/2007,19:00,652016,G,42.1234,-115.6789,ID,Owyhee,16073,BLM
1019,MILFORD FLAT,7/6/2007,14:15,Lightning,7/15/2007,18:00,363052,G,38.3456,-113.0123,UT,Beaver,49001,BLM
1020,TRIPOD COMPLEX,7/24/2006,15:00,Lightning,9/25/2006,19:00,175184,G,48.6789,-120.2345,WA,Okanogan,53047,USFS
1021,DAY,9/4/2006,14:30,Equipment Use,9/14/2006,17:00,162702,G,34.789,-119.8765,CA,Ventura,6111,USFS
1022,SAWTOOTH COMPLEX,7/9/2006,13:45,Lightning,7/15/2006,18:30,61700,G,34.3456,-116.789,CA,San Bernardino,6071,BLM
1023,STATION,8/26/2009,15:15,Human,9/9/2009,19:00,160557,G,34.1765,-118.1234,CA,Los Angeles,6037,USFS
1024,LOCKHEED,9/1/2009,13:30,Human,9/8/2009,17:30,8170,G,40.5678,-122.3456,CA,Shasta,6089,Private
1025,SOUTH CANYON,6/20/2010,11:00,Lightning,6/28/2010,18:00,6800,G,39.8765,-107.2345,CO,Garfield,8045,BLM
1026,FOURMILE CANYON,9/6/2010,10:00,Human,9/13/2010,19:00,6181,G,40.0345,-105.3923,CO,Boulder,8013,Mixed Ownership
1027,SCHULTZ,6/20/2010,11:15,Human,6/30/2010,18:00,15075,G,35.2456,-111.5678,AZ,Coconino,4005,USFS
1028,WALLOW,5/29/2011,13:30,Human,7/8/2011,19:00,538049,G,33.6789,-109.4567,AZ,Apache,4001,USFS
1029,LAS CONCHAS,6/26/2011,13:00,Human,8/3/2011,18:00,156593,G,35.789,-106.5678,NM,Sandoval,35043,USFS
1030,HIGH PARK,6/9/2012,6:00,Lightning,6/30/2012,19:00,87284,G,40.6543,-105.4321,CO,Larimer,8069,Mixed Ownership
1031,WHITEWATER-BALDY COMPLEX,5/16/2012,14:30,Lightning,7/23/2012,18:00,297845,G,33.2345,-108.9087,NM,Catron,35003,USFS
1032,RUSH,8/12/2012,15:00,Lightning,8/30/2012,18:30,315577,G,40.5678,-117.8765,NV,Lander,32015,BLM
1033,YARNELL HILL,6/28/2013,17:30,Lightning,7/10/2013,19:00,8400,G,34.2234,-112.7654,AZ,Yavapai,4025,State
1034,RIM,8/17/2013,15:00,Human,10/24/2013,18:00,257314,G,37.8456,-120.0987,CA,Tuolumne,6109,USFS
1035,SILVER,6/10/2013,14:00,Lightning,6/28/2013,18:00,20728,G,33.0234,-107.8765,NM,Sierra,35051,USFS
1036,KING,7/27/2014,15:30,Lightning,10/9/2014,19:00,97717,G,40.3456,-121.8765,CA,Shasta,6089,USFS
1037,CARLTON COMPLEX,7/14/2014,14:15,Lightning,8/24/2014,18:00,256108,G,48.2234,-120.0987,WA,Okanogan,53047,Mixed Ownership
1038,HAPPY CAMP COMPLEX,8/11/2014,13:30,Lightning,10/5/2014,19:00,134056,G,41.789,-123.3456,CA,Siskiyou,6093,USFS
1039,BUTTE,9/9/2015,16:15,Equipment Use,10/1/2015,18:00,70868,G,38.8123,-120.7654,CA,Amador,6005,Mixed Ownership
1040,VALLEY,9/12/2015,13:30,Human,10/6/2015,19:00,76067,G,38.789,-122.6123,CA,Lake,6033,Mixed Ownership
1041,OKANOGAN COMPLEX,8/15/2015,14:00,Lightning,9/19/2015,18:30,304782,G,48.3456,-119.789,WA,Okanogan,53047,Mixed Ownership
1042,SOBERANES,7/22/2016,8:45,Human,10/12/2016,19:00,132127,G,36.4567,-121.8901,CA,Monterey,6053,USFS
1043,PIONEER,8/24/2016,15:30,Human,9/12/2016,18:00,35000,G,43.6789,-115.3456,ID,Boise,16015,USFS
1044,CARPENTER 1,7/1/2016,14:00,Lightning,7/19/2016,19:00,27881,G,36.3087,-115.6789,NV,Clark,32003,USFS
1045,THOMAS,12/4/2017,18:30,Equipment Use,1/12/2018,17:00,281893,G,34.3456,-119.0876,CA,Ventura,6111,Mixed Ownership
1046,TUBBS,10/8/2017,21:15,Equipment Use,10/31/2017,18:00,36807,G,38.6123,-122.789,CA,Sonoma,6097,Private
1047,NUNS,10/8/2017,22:00,Equipment Use,10/30/2017,19:00,54382,G,38.4567,-122.5678,CA,Sonoma,6097,Private
1048,CARR,7/23/2018,13:15,Equipment Use,8/30/2018,19:00,229651,G,40.6789,-122.5678,CA,Shasta,6089,Mixed Ownership
1049,CAMP,11/8/2018,6:30,Equipment Use,11/25/2018,18:00,153336,G,39.789,-121.4567,CA,Butte,6007,Mixed Ownership
1050,WOOLSEY,11/8/2018,14:30,Equipment Use,11/21/2018,19:00,96949,G,34.2345,-118.789,CA,Ventura,6111,Mixed Ownership
1051,SWAN LAKE,7/22/2019,13:30,Lightning,8/6/2019,18:00,11141,G,42.3456,-121.8907,OR,Klamath,41035,USFS
1052,WALKER,9/4/2019,14:00,Human,9/14/2019,19:00,54612,G,37.789,-120.2345,CA,Plumas,6063,USFS
1053,KNF LIGHTNING COMPLEX,7/27/2019,15:30,Lightning,8/19/2019,18:00,8520,G,41.3456,-123.789,CA,Siskiyou,6093,USFS
1054,CREEK,9/4/2020,18:45,Human,12/24/2020,19:00,379895,G,37.1234,-119.2345,CA,Fresno,6019,USFS
1055,AUGUST COMPLEX,8/16/2020,15:15,Lightning,11/12/2020,18:00,1032648,G,39.7654,-123.1234,CA,Mendocino,6045,USFS
1056,NORTH COMPLEX,8/17/2020,15:30,Lightning,12/3/2020,19:00,318935,G,39.8765,-121.3456,CA,Plumas,6063,USFS
1057,SCU LIGHTNING COMPLEX,8/16/2020,13:00,Lightning,10/1/2020,18:00,396624,G,37.4567,-121.5678,CA,Santa Clara,6085,Mixed Ownership
1058,LNU LIGHTNING COMPLEX,8/17/2020,14:30,Lightning,10/2/2020,19:00,363220,G,38.5678,-122.1234,CA,Napa,6055,Mixed Ownership
1059,BOBCAT,9/6/2020,12:21,Human,12/18/2020,18:00,115796,G,34.1765,-117.9876,CA,Los Angeles,6037,USFS
1060,EAST TROUBLESOME,10/14/2020,12:00,Human,11/30/2020,18:00,193812,G,40.1234,-105.8765,CO,Grand,8049,USFS
1061,CAMERON PEAK,8/13/2020,13:30,Human,12/2/2020,19:00,208913,G,40.5678,-105.8901,CO,Larimer,8069,USFS
1062,LITTLE VALLEY,6/25/2017,14:15,Lightning,7/10/2017,18:00,4563,F,39.7654,-119.8765,NV,Washoe,32031,BLM
